State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Kurnool,2022-01-10,2022,01,0.001745038,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-12,2022,01,0.000307715,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-13,2022,01,4.923029336,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-16,2022,01,0.182611584,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-14,2022,01,1.795552661,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-15,2022,01,0.296008202,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-17,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-18,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-19,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-20,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-21,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-22,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-23,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-24,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-25,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-26,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-28,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-29,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-27,2022,01,0.002853133,IMD GRID MODEL
Andhra Pradesh,Kurnool,2022-01-30,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-01,2022,01,6.579243121,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-02,2022,01,0.835987924,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-03,2022,01,0,IMD GRID MODEL
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-04,2022,01,0,IMD GRID MODEL
